b_wordcnt.no,b_wordcnt.content,b_wordcnt.mor,b_wordcnt.cnt
1,박,Noun,430
2,스페인,Noun,361
3,날씨,Noun,360
4,요,Noun,328
5,일,Noun,320
6,마드리드,Noun,288
7,가요,Noun,286
8,공항,Noun,277
9,추천,Noun,250
10,질문,Noun,248
11,투어,Noun,227
12,근교,Noun,222
13,월,Noun,218
14,밀리,Noun,211
15,라다,Noun,211
16,사,Modifier,211
17,문의,Noun,209
18,로마,Noun,201
19,세비야,Noun,191
20,카탈루냐,Noun,179
21,어디,Noun,156
22,밤,Noun,156
23,말라가,Noun,155
24,곳,Noun,153
25,게,Noun,152
26,공항버스,Noun,140
27,광장,Noun,139
28,그라나다,Noun,137
29,구매,Noun,132
30,발렌시아,Noun,124
31,택스,Noun,122
32,린펀,Noun,122
33,일정,Noun,121
34,여름,Noun,121
35,도착,Noun,118
36,시,Noun,115
37,파,Noun,112
38,수,Noun,112
39,좀,Noun,111
40,그,Modifier,110
41,분,Noun,110
42,지금,Noun,107
43,시간,Noun,104
44,안,Noun,98
45,티켓,Noun,96
46,여행,Noun,93
47,중,Noun,92
48,입장,Noun,89
49,뭐,Noun,87
50,경기,Noun,87
51,시내,Noun,86
52,혼자,Noun,86
53,야경,Noun,83
54,포르투,Noun,82
55,이동,Noun,81
56,숙소,Noun,80
57,시체스,Noun,80
58,예매,Noun,78
59,아시,Noun,78
60,맛집,Noun,75
61,및,Noun,74
62,바,Noun,74
63,더,Noun,74
64,고딕,Noun,73
65,지구,Noun,73
66,가도,Noun,73
67,현지,Noun,73
68,상점,Noun,72
69,월초,Noun,72
70,거리,Noun,72
71,호텔,Noun,72
72,대성당,Noun,71
73,정도,Noun,70
74,관광,Noun,70
75,관광지,Noun,69
76,쇼핑,Noun,68
77,둘,Noun,68
78,입장권,Noun,68
79,프라하,Noun,67
80,일주일,Noun,67
81,당일치기,Noun,67
82,현장,Noun,66
83,소매치기,Noun,66
84,여행지,Noun,66
85,걸,Noun,65
86,여부,Noun,65
87,등,Noun,64
88,피렌체,Noun,64
89,동안,Noun,64
90,재즈,Noun,64
91,옷차림,Noun,64
92,네,Noun,63
93,핫,Noun,63
94,차,Noun,63
95,터미널,Noun,63
96,네타,Noun,63
97,옷,Noun,63
98,메뉴,Noun,63
99,포함,Noun,62
100,한인,Noun,62
101,주문,Noun,62
102,델,Noun,62
103,디아,Noun,62
104,계세,Noun,62
105,이틀,Noun,62
106,파리,Noun,61
107,도구,Noun,61
108,렌트,Noun,61
109,어떤,Modifier,61
110,레이스,Noun,61
111,택,Noun,61
112,첫,Modifier,61
113,대한항공,Noun,61
114,베니스,Noun,61
115,힐리,Noun,60
116,태닝,Noun,60
117,패키지,Noun,60
118,비치,Noun,60
119,원피스,Noun,60
120,콘택트렌즈,Noun,60
121,폰,Noun,60
122,프리,Noun,60
123,케이블카,Noun,60
124,아,Noun,60
125,제빵,Noun,60
126,인천,Noun,60
