l_wordcnt.no,l_wordcnt.content,l_wordcnt.mor,l_wordcnt.cnt
1,공항,Noun,603
2,곳,Noun,459
3,날씨,Noun,442
4,파리,Noun,439
5,뮤지컬,Noun,403
6,시내,Noun,383
7,패스,Noun,372
8,역,Noun,334
9,추천,Noun,330
10,해리포터,Noun,311
11,질문,Noun,303
12,분,Noun,293
13,카드,Noun,270
14,요,Noun,269
15,킹스크로스,Noun,258
16,교통,Noun,254
17,루턴,Noun,244
18,어떤,Modifier,236
19,에든버러,Noun,236
20,입국,Noun,219
21,방법,Noun,218
22,근교,Noun,215
23,여행,Noun,209
24,아시,Noun,208
25,때,Noun,179
26,오,Modifier,175
27,이스터,Noun,174
28,영국,Noun,173
29,관련,Noun,171
30,히스,Noun,167
31,예약,Noun,163
32,문의,Noun,161
33,일,Noun,157
34,저녁,Noun,156
35,시,Noun,155
36,개,Noun,155
37,트윅,Noun,154
38,더,Noun,149
39,구매,Noun,147
40,법,Noun,138
41,월초,Noun,129
42,바스,Noun,124
43,스튜디오,Noun,111
44,가든,Noun,110
45,이용,Noun,110
46,스카이,Noun,105
47,월,Noun,102
48,티켓,Noun,100
49,근처,Noun,98
50,게,Noun,97
51,좀,Noun,93
52,이동,Noun,92
53,새벽,Noun,91
54,꼭,Noun,87
55,야경,Noun,85
56,데이,Noun,84
57,검사,Noun,83
58,편,Noun,82
59,트래블,Noun,82
60,아이,Noun,82
61,시트,Noun,80
62,샤드,Noun,80
63,박,Noun,79
64,건가,Noun,79
65,조언,Noun,79
66,치안,Noun,78
67,라이언킹,Noun,78
68,볼,Noun,77
69,호텔,Noun,76
70,못,Noun,76
71,가야,Noun,76
72,지하철,Noun,74
73,내일,Noun,73
74,세븐,Noun,73
75,수,Noun,72
76,교통비,Noun,72
77,전,Noun,72
78,백신,Noun,71
79,시스터즈,Noun,70
80,출국,Noun,69
81,급,Noun,68
82,서류,Noun,68
83,옥스퍼드,Noun,68
84,지역,Noun,67
85,터미널,Noun,67
86,걸,Noun,67
87,코츠,Noun,67
88,쪽,Noun,67
89,가기,Noun,66
90,월드,Noun,66
91,파운드,Noun,66
92,구경,Noun,65
93,유스,Noun,65
94,메일,Noun,65
95,턴,Noun,65
96,얼마나,Noun,65
97,팁,Noun,65
98,항원,Noun,64
99,온라인,Noun,64
100,귀국,Noun,64
101,신속,Noun,64
102,더블린,Noun,64
103,실패,Noun,64
104,가나,Noun,63
105,작성,Noun,63
106,동안,Noun,63
107,왕복,Noun,63
108,사진,Noun,62
109,우산,Noun,62
110,일주일,Noun,62
111,케임브리지,Noun,62
112,규정,Noun,62
113,저,Noun,62
114,검색,Noun,61
115,리코,Noun,61
116,전날,Noun,61
117,환전,Noun,61
118,월말,Noun,61
119,폴란드,Noun,61
120,라면,Noun,61
121,팔레르모,Noun,60
122,백화점,Noun,60
123,코피,Noun,60
124,연고,Noun,60
125,매너,Noun,60
126,전혀,Noun,60
127,여기저기,Noun,60
128,복장,Noun,60
129,켄싱턴,Noun,60
130,동선,Noun,60
131,옥스,Noun,60
132,마구,Noun,60
133,트웍,Noun,60
134,약국,Noun,60
135,체인,Noun,60
136,사내,Noun,60
137,안전,Noun,60
138,요크,Noun,60
