wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
1,파리,Noun,567
2,런던,Noun,354
3,월,Noun,268
4,요,Noun,250
5,질문,Noun,231
6,공항,Noun,188
7,추천,Noun,187
8,분,Noun,183
9,예약,Noun,151
10,투어,Noun,149
11,문의,Noun,146
12,바르셀로나,Noun,136
13,여행,Noun,134
14,크리스마스,Noun,132
15,날씨,Noun,130
16,로마,Noun,125
17,시간,Noun,125
18,있나요,Adjective,119
19,일,Noun,118
20,교통,Noun,117
21,시,Noun,114
22,스페인,Noun,113
23,스위스,Noun,104
24,패스,Noun,104
25,곳,Noun,102
26,이탈리아,Noun,99
27,가요,Noun,98
28,프랑스,Noun,98
29,있을까요,Adjective,93
30,택시,Noun,91
31,관련,Noun,87
32,시내,Noun,87
33,카드,Noun,86
34,역,Noun,85
35,수,Noun,81
36,티켓,Noun,79
37,버스,Noun,76
38,안,Noun,75
39,하나요,Noun,74
40,디즈니랜드,Noun,71
41,입장,Noun,69
42,마켓,Noun,69
43,드려요,Verb,68
44,피렌체,Noun,68
45,해주세요,Verb,66
46,드립니다,Verb,65
47,일정,Noun,63
48,가는,Verb,62
49,할,Verb,62
50,영국,Noun,61
51,나비고,Noun,60
52,중,Noun,59
53,궁전,Noun,58
54,미술관,Noun,57
55,거,Noun,57
56,도착,Noun,55
57,박물관,Noun,55
58,부탁드려요,Adjective,53
59,구매,Noun,53
60,독일,Noun,51
61,비,Noun,51
62,베르사유,Noun,50
63,부탁드립니다,Adjective,50
64,지엄,Noun,50
65,뮤,Noun,50
66,이동,Noun,49
67,밤,Noun,49
68,하는,Verb,48
69,지금,Noun,47
70,가능한가요,Adjective,46
71,루브르,Noun,46
72,프라하,Noun,45
73,겨울,Noun,45
74,좋을까요,Adjective,45
75,게,Noun,45
76,어디,Noun,44
77,세비야,Noun,44
78,입니다,Adjective,43
79,할까,Verb,42
80,되나요,Verb,41
81,새해,Noun,41
82,해야,Verb,41
83,짐,Noun,40
84,맛집,Noun,40
85,때,Noun,39
86,리스본,Noun,39
87,방법,Noun,39
88,치안,Noun,39
89,많이,Adverb,38
90,이용,Noun,38
91,새벽,Noun,38
92,베니스,Noun,37
93,비엔나,Noun,37
94,가능할까,Adjective,36
95,밀라노,Noun,36
96,포르투갈,Noun,36
97,계시나요,Adjective,36
98,뭐,Noun,36
99,샤를,Noun,35
100,하루,Noun,35
101,아시,Noun,35
102,보관,Noun,34
103,오스트리아,Noun,34
104,드골,Noun,34
105,근처,Noun,34
106,지하철,Noun,34
107,가보신,Verb,34
108,말,Noun,33
109,대중교통,Noun,33
110,날,Noun,33
111,있는,Adjective,33
112,도와주세요,Verb,33
113,마드리드,Noun,32
114,당일,Noun,32
115,해보신,Verb,31
116,어떻게,Adjective,31
117,미리,Noun,31
118,가야,Noun,30
119,우버,Noun,30
120,트래블,Noun,29
121,이,Noun,29
122,월렛,Noun,29
123,포르투,Noun,29
124,예매,Noun,29
125,융프라우,Noun,29
126,오르세,Verb,29
127,좀,Noun,28
128,괜찮을까요,Adjective,28
129,보신,Noun,27
130,하는데,Verb,27
131,교통카드,Noun,27
132,히스,Noun,27
133,언제,Noun,27
134,공연,Noun,27
135,남부,Noun,27
136,갈,Verb,26
137,그라나다,Noun,26
138,오페라,Noun,25
139,꼭,Noun,25
140,오늘,Noun,25
141,혹시,Noun,25
142,숙소,Noun,25
143,베네치아,Noun,25
144,카르,Noun,25
145,사용,Noun,25
146,것,Noun,24
147,주,Noun,24
148,저녁,Noun,24
149,일요일,Noun,24
150,몇,Noun,24
151,입장권,Noun,24
152,있습니다,Adjective,24
153,초,Noun,24
154,조언,Noun,24
155,캐리어,Noun,24
156,뮤지컬,Noun,24
157,개,Noun,23
158,다,Adverb,23
159,유럽,Noun,23
160,북역,Noun,23
161,빈,Noun,23
162,이스터,Noun,23
163,혼자,Noun,23
164,알람브라,Noun,23
165,스튜디오,Noun,23
166,정도,Noun,23
167,후,Noun,23
168,박,Noun,22
169,베를린,Noun,22
170,무료,Noun,22
171,고민,Noun,22
172,바티칸,Noun,22
173,뮌헨,Noun,22
174,콜로세움,Noun,22
175,샤모니,Noun,22
176,괜찮나요,Adjective,22
177,근교,Noun,21
178,도시,Noun,21
179,건가,Noun,21
180,프랑크푸르트,Noun,21
181,부다페스트,Noun,21
182,잘,Verb,21
183,일까,Verb,21
184,해리포터,Noun,21
185,가는데,Verb,20
186,오후,Noun,20
187,구,Noun,20
188,될까,Verb,20
189,광장,Noun,20
190,식당,Noun,20
191,운행,Noun,20
192,하면,Verb,20
193,터키,Noun,19
194,결제,Noun,19
195,한,Verb,19
196,하시나요,Verb,19
197,볼,Noun,19
198,다녀오신,Verb,19
199,당일치기,Noun,19
200,구입,Noun,19
201,체코,Noun,19
202,에펠탑,Noun,18
203,모,Noun,18
204,관광지,Noun,18
205,바토,Noun,18
206,니스,Noun,18
207,인터라켄,Noun,18
208,중순,Noun,18
209,돌,Noun,17
210,동유럽,Noun,17
211,파,Noun,17
212,라다,Noun,17
213,노르웨이,Noun,17
214,현재,Noun,17
215,가이드,Noun,17
216,밀리,Noun,17
217,만,Noun,17
218,불꽃놀이,Noun,17
219,해서,Verb,17
220,나을까요,Verb,17
221,너무,Adverb,17
222,더,Noun,17
223,주리,Noun,17
224,가면,Noun,17
225,파업,Noun,17
226,쯤,Noun,16
227,마지막,Noun,16
228,어디서,Adverb,16
229,성당,Noun,16
230,스,Noun,16
231,아침,Noun,16
232,호텔,Noun,16
233,관광,Noun,15
234,오는,Verb,15
235,바셀,Noun,15
236,데,Noun,15
237,연말,Noun,15
238,트레블,Noun,15
239,정보,Noun,15
240,좋은,Adjective,15
241,합니다,Verb,15
242,맞나요,Verb,15
243,했는데,Verb,15
244,루미,Noun,15
245,가우디,Noun,15
246,월초,Noun,14
247,통합,Noun,14
248,가도,Noun,14
249,달,Noun,14
250,현장,Noun,14
251,두,Noun,14
252,마트,Noun,14
253,제,Noun,14
254,카운트다운,Noun,14
255,네이션,Noun,14
256,궁금합니다,Adjective,14
257,야경,Noun,14
258,오로라,Noun,14
259,대성당,Noun,14
260,오랑,Noun,14
261,환승,Noun,14
262,관람,Noun,14
263,할만,Verb,13
264,내일,Noun,13
265,어떨까,Adjective,13
266,기차,Noun,13
267,드레스덴,Noun,13
268,있으신,Adjective,13
269,계신,Adjective,13
270,뭘,Noun,13
271,성,Noun,13
272,알려주세요,Verb,13
273,데이,Noun,13
274,수단,Noun,13
275,법,Noun,13
276,얼마나,Noun,13
277,도움,Noun,13
278,스트라스부르,Noun,13
279,주말,Noun,13
280,트랙,Noun,13
281,어떤,Adjective,12
