wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
1,파리,Noun,1090
2,너무,Adverb,528
3,것,Noun,507
4,저,Noun,486
5,분,Noun,407
6,때,Noun,405
7,다,Adverb,383
8,시간,Noun,380
9,여행,Noun,375
10,사람,Noun,374
11,해서,Verb,356
12,곳,Noun,356
13,수,Noun,333
14,많이,Adverb,325
15,정도,Noun,312
16,유로,Noun,309
17,제,Noun,288
18,시,Noun,280
19,입니다,Adjective,274
20,생각,Noun,270
21,거,Noun,264
22,안,Noun,261
23,날씨,Noun,251
24,예약,Noun,244
25,잘,Verb,238
26,있는,Adjective,236
27,그냥,Noun,233
28,더,Noun,233
29,같아요,Adjective,223
30,정말,Noun,221
31,했는데,Verb,217
32,한국,Noun,214
33,호텔,Noun,214
34,추천,Noun,213
35,사진,Noun,212
36,하는,Verb,210
37,그,Noun,209
38,일,Noun,201
39,했어요,Verb,199
40,공항,Noun,198
41,후기,Noun,197
42,바로,Noun,192
43,할,Verb,192
44,합니다,Verb,190
45,프랑스,Noun,190
46,저희,Noun,185
47,날,Noun,184
48,전,Noun,180
49,택시,Noun,179
50,지하철,Noun,169
51,줄,Noun,168
52,했습니다,Verb,166
53,하고,Verb,164
54,꼭,Noun,163
55,비,Noun,161
56,숙소,Noun,160
57,버스,Noun,154
58,좀,Noun,153
59,도착,Noun,152
60,이,Noun,150
61,진짜,Noun,149
62,앞,Noun,148
63,근처,Noun,147
64,루브르,Noun,146
65,한,Verb,146
66,소매치기,Noun,142
67,보고,Noun,141
68,말,Noun,138
69,하면,Verb,135
70,타고,Noun,134
71,같은,Adjective,132
72,하나,Noun,127
73,개,Noun,123
74,역,Noun,123
75,에펠탑,Noun,123
76,다시,Noun,122
77,느낌,Noun,120
78,번,Noun,119
79,또,Noun,118
80,가방,Noun,117
81,여기,Noun,116
82,니스,Noun,116
83,맛,Noun,116
84,이용,Noun,115
85,엄청,Adverb,115
86,패스,Noun,114
87,짐,Noun,113
88,들,Verb,111
89,식당,Noun,111
90,가격,Noun,111
91,한번,Noun,111
92,남편,Noun,109
93,베르사유,Noun,109
94,일정,Noun,108
95,아침,Noun,107
96,글,Noun,104
97,나비고,Noun,104
98,해,Noun,102
99,때문,Noun,102
100,등,Noun,102
101,저녁,Noun,102
102,있어요,Adjective,102
103,박,Noun,101
104,있어서,Adjective,101
105,조금,Noun,101
106,투어,Noun,101
107,정보,Noun,101
108,유랑,Noun,99
109,지금,Noun,99
110,걸,Noun,99
111,있습니다,Adjective,97
112,가는,Verb,97
113,구매,Noun,97
114,보니,Verb,96
115,미리,Noun,95
116,카드,Noun,95
117,하세요,Verb,94
118,걱정,Noun,93
119,그래서,Adverb,93
120,근데,Adverb,92
121,거의,Noun,92
122,다른,Noun,92
123,모두,Noun,92
124,직원,Noun,91
125,거리,Noun,91
126,중,Noun,91
127,후,Noun,91
128,쇼핑,Noun,90
129,지엄,Noun,90
130,없이,Adverb,90
131,뮤,Noun,90
132,월,Noun,89
133,좋은,Adjective,89
134,좋았어요,Adjective,89
135,층,Noun,88
136,참고,Noun,88
137,길,Noun,87
138,이동,Noun,87
139,갈,Verb,86
140,오늘,Noun,85
141,정원,Noun,84
142,에펠,Noun,84
143,계속,Noun,83
144,확인,Noun,83
145,박물관,Noun,83
146,처음,Noun,83
147,그래도,Adverb,82
148,패딩,Noun,82
149,티켓,Noun,82
150,많은,Adjective,81
151,카페,Noun,81
152,가서,Verb,80
153,있는데,Adjective,80
154,못,Noun,79
155,제일,Noun,79
156,큰,Verb,79
157,다음,Noun,78
158,해,Verb,78
159,빵,Noun,78
160,와인,Noun,78
161,구경,Noun,77
162,도움,Noun,77
163,갔는데,Verb,77
164,시내,Noun,76
165,밤,Noun,76
166,집,Noun,75
167,같이,Adverb,74
168,음식,Noun,74
169,하면서,Verb,73
170,됩니다,Verb,73
171,요,Noun,73
172,방문,Noun,72
173,사용,Noun,72
174,듯,Noun,72
175,하루,Noun,72
176,미술관,Noun,72
177,옆,Noun,72
178,아주,Noun,71
179,위치,Noun,69
180,이번,Noun,69
181,가이드,Noun,69
182,마지막,Noun,68
183,출발,Noun,68
184,먹고,Verb,68
185,개인,Noun,68
186,도,Noun,68
187,맛집,Noun,67
188,오후,Noun,67
189,개선문,Noun,67
190,경우,Noun,66
191,자리,Noun,66
192,딱,Adverb,66
193,쪽,Noun,65
194,핸드폰,Noun,65
195,된,Verb,65
196,기차,Noun,64
197,혹시,Noun,64
198,별로,Noun,63
199,했고,Verb,63
200,자전거,Noun,62
201,뒤,Noun,62
202,캐리어,Noun,62
203,바토,Noun,62
204,함,Noun,61
205,있고,Adjective,61
206,위,Noun,61
207,무료,Noun,61
208,알,Noun,61
209,분위기,Noun,61
210,하지,Verb,61
211,옷,Noun,60
212,볼,Noun,60
213,볼트,Noun,60
214,및,Noun,59
215,편,Noun,59
216,돈,Noun,59
217,비행기,Noun,59
218,오랑,Noun,58
219,가장,Noun,58
220,검색,Noun,58
221,같습니다,Adjective,58
222,들고,Verb,58
223,와서,Verb,58
224,커피,Noun,58
225,식사,Noun,57
226,영어,Noun,57
227,좋을,Adjective,57
228,중간,Noun,57
229,꽤,Noun,57
230,없어서,Adjective,57
231,낮,Noun,57
232,한국인,Noun,56
233,게,Noun,56
234,방,Noun,56
235,점,Noun,56
236,라파예트,Noun,55
237,현지,Noun,55
238,구,Noun,55
239,경량,Noun,54
240,입장,Noun,54
241,기억,Noun,54
242,백화점,Noun,54
243,사실,Noun,54
244,동안,Noun,54
245,준비,Noun,54
246,뷰,Noun,54
247,내,Noun,54
248,교통,Noun,54
249,혼자,Noun,54
250,주리,Noun,53
251,없는,Adjective,53
252,이렇게,Adverb,53
253,오르세,Verb,53
254,드립니다,Verb,52
255,좋았습니다,Adjective,52
256,작품,Noun,52
257,문,Noun,51
258,광장,Noun,51
259,유럽,Noun,51
260,어제,Noun,51
261,공유,Noun,50
262,샤를,Noun,50
263,건,Noun,50
264,보,Noun,50
265,우버,Noun,50
266,가면,Noun,50
267,결제,Noun,50
268,나,Noun,50
269,하시는,Verb,49
270,드려요,Verb,49
271,메뉴,Noun,49
272,많아서,Adjective,49
273,드골,Noun,49
274,물,Noun,49
275,뭐,Noun,49
276,도시,Noun,48
277,일찍,Noun,48
278,하시면,Verb,48
279,일단,Noun,48
280,요금,Noun,48
281,하는데,Verb,48
282,공원,Noun,48
283,생,Noun,48
284,추가,Noun,47
285,우리,Noun,47
286,문제,Noun,47
287,될,Verb,47
288,선택,Noun,47
289,하기,Verb,47
290,긴,Verb,47
291,있었어요,Adjective,47
292,물건,Noun,47
293,야경,Noun,46
294,왜,Noun,46
295,입구,Noun,46
296,매장,Noun,46
297,기사,Noun,46
298,만원,Noun,46
299,오전,Noun,46
300,손,Noun,46
301,명,Noun,45
302,구글,Noun,45
303,이런,Adjective,45
304,관광지,Noun,45
305,필수,Noun,45
306,유명한,Adjective,45
307,입고,Verb,45
308,약간,Noun,45
309,였어요,Verb,44
310,주변,Noun,44
311,보면,Verb,44
312,그런지,Adjective,44
313,코트,Noun,44
314,눈,Noun,44
315,본,Verb,44
316,모든,Noun,44
317,디저트,Noun,44
318,드,Noun,44
319,팔,Noun,43
320,입국,Noun,43
321,바,Noun,43
322,없고,Adjective,43
323,작은,Adjective,43
324,취소,Noun,43
325,쓰고,Verb,43
326,운행,Noun,43
327,설명,Noun,43
328,되는,Verb,43
329,특히,Adverb,43
330,다만,Noun,43
331,이상,Noun,43
332,참,Verb,42
333,먹을,Verb,42
334,기,Noun,42
335,그림,Noun,42
336,않고,Verb,42
337,갔습니다,Verb,42
338,등등,Noun,42
339,화장실,Noun,42
340,아이,Noun,42
341,일차,Noun,42
342,현금,Noun,42
343,찍고,Verb,42
344,인종차별,Noun,42
345,샹젤리제,Noun,42
